date,value
1906-12-31T23:00Z,0.048
1907-12-31T23:00Z,0.055
1908-12-31T23:00Z,0.058
1909-12-31T23:00Z,0.06
1910-12-31T23:00Z,0.058
1911-12-31T23:00Z,0.04
1912-12-31T23:00Z,0.056
1913-12-31T23:00Z,0.061
1914-12-31T23:00Z,0.058
1915-12-31T23:00Z,0.068
1916-12-31T23:00Z,0.071
1917-12-31T23:00Z,0.076
1918-12-31T23:00Z,0.083
1919-12-31T23:00Z,0.087
1920-12-31T23:00Z,0.083
1921-12-31T23:00Z,0.085
1922-12-31T23:00Z,0.099
1923-12-31T23:00Z,0.103
1924-12-31T23:00Z,0.097
1925-12-31T23:00Z,0.092
1926-12-31T23:00Z,0.096
1927-12-31T23:00Z,0.099
1928-12-31T23:00Z,0.1
1929-12-31T23:00Z,0.103
1930-12-31T23:00Z,0.107
1931-12-31T23:00Z,0.103
1932-12-31T23:00Z,0.11
1933-12-31T23:00Z,0.126
1934-12-31T23:00Z,0.146
1935-12-31T23:00Z,0.151
1936-12-31T23:00Z,0.141
1937-12-31T23:00Z,0.121
1938-12-31T23:00Z,0.146
1939-12-31T23:00Z,0.178
1940-12-31T22:00Z,0.222
1941-12-31T22:00Z,0.247
1942-12-31T23:00Z,0.21
1943-12-31T23:00Z,0.197
1944-12-31T23:00Z,0.106
1945-12-31T23:00Z,0.068
1946-12-31T23:00Z,0.079
1947-12-31T23:00Z,0.072
1948-12-31T23:00Z,0.115
1949-12-31T23:00Z,0.145
1950-12-31T23:00Z,0.184
1951-12-31T23:00Z,0.226
1952-12-31T23:00Z,0.232
1953-12-31T23:00Z,0.273
1954-12-31T23:00Z,0.316
1955-12-31T23:00Z,0.35
1956-12-31T23:00Z,0.406
1957-12-31T23:00Z,0.814
1958-12-31T23:00Z,1.103
1959-12-31T23:00Z,1.22
1960-12-31T23:00Z,0.87
1961-12-31T23:00Z,0.691
1962-12-31T23:00Z,0.667
1963-12-31T23:00Z,0.654
1964-12-31T23:00Z,0.692
1965-12-31T23:00Z,0.74
1966-12-31T23:00Z,0.605
1967-12-31T23:00Z,0.634
1968-12-31T23:00Z,0.758
1969-12-31T23:00Z,0.981
1970-12-31T23:00Z,1.077
1971-12-31T23:00Z,1.122
1972-12-31T23:00Z,1.142
1973-12-31T23:00Z,1.142
1974-12-31T23:00Z,1.292
1975-12-31T23:00Z,1.318
1976-12-31T23:00Z,1.421
1977-12-31T23:00Z,1.561
1978-12-31T23:00Z,1.574
1979-12-31T23:00Z,1.52
1980-12-31T23:00Z,1.48
1981-12-31T23:00Z,1.585
1982-12-31T23:00Z,1.646
1983-12-31T23:00Z,1.767
1984-12-31T23:00Z,1.885
1985-12-31T23:00Z,1.953
1986-12-31T23:00Z,2.06
1987-12-31T23:00Z,2.175
1988-12-31T23:00Z,2.173
1989-12-31T23:00Z,2.154
1990-12-31T23:00Z,2.226
1991-12-31T23:00Z,2.305
1992-12-31T23:00Z,2.44
1993-12-31T23:00Z,2.567
1994-12-31T23:00Z,2.755
1995-12-31T23:00Z,2.851
1996-12-31T23:00Z,2.833
1997-12-31T23:00Z,2.69
1998-12-31T23:00Z,2.823
1999-12-31T23:00Z,2.874
2000-12-31T23:00Z,2.916
2001-12-31T23:00Z,3.188
2002-12-31T23:00Z,3.74
2003-12-31T23:00Z,4.007
2004-12-31T23:00Z,4.49
2005-12-31T23:00Z,4.927
2006-12-31T23:00Z,5.267
2007-12-31T23:00Z,5.624
2008-12-31T23:00Z,5.878
2009-12-31T23:00Z,6.378
2010-12-31T23:00Z,7.008
2011-12-31T23:00Z,7.141
2012-12-31T23:00Z,7.22
2013-12-31T23:00Z,7.198
2014-12-31T23:00Z,7.065
2015-12-31T23:00Z,6.953
2016-12-31T23:00Z,7.085
2017-12-31T23:00Z,7.282
2018-12-31T23:00Z,7.526
2019-12-31T23:00Z,7.647
2020-12-31T23:00Z,8.026
2021-12-31T23:00Z,7.964
2022-12-31T23:00Z,8.367
